realised,msmmean,msmsd
0.004676558499765309,0.00440442005099076,0.001212217147103982
0.0027719162475811315,0.004183345064855521,0.001180947217153514
0.0025802639185554936,0.00392285071647877,0.0009909065584630076
0.0027033256229907618,0.0038298862262605357,0.0009699959179865775
0.0021340783238536177,0.003942295288292043,0.0010941411976504837
0.0024762604534980257,0.004230495176442159,0.0013099533072835165
0.002788267592512497,0.0035649943024810243,0.0010056431251281104
0.002501635685125187,0.003592626881983503,0.001071295164958728
0.002545988672224993,0.003285298861039413,0.0009011777853193163
0.004300730178301716,0.0024609534093063775,0.0003717821390972364
0.003953985119705242,0.0032100020441220164,0.0008398685677093629
0.004001322969002208,0.0031806054219205146,0.0007983033217385776
0.00558037374908888,0.0032597106380821746,0.000842816473997918
0.0040233527174398254,0.0034445046761904102,0.001013554774079766
0.005380492558616638,0.0033679143391913504,0.000925210553204077
0.004556753589803175,0.0036996139611856715,0.0010589385969268484
0.006912706526535269,0.003875926610591402,0.0011527698872938748
0.006468895332457745,0.004696640728233182,0.0015324214011542164
0.003864305150262525,0.004741618755701037,0.0015245359978529865
0.0034965989498871026,0.00550321750555946,0.001194102447385657
0.006032382673892045,0.006252858978332874,0.0029683040646287253
0.006325263844083707,0.005910094754837296,0.002463690069563964
0.0064081633729617974,0.005852623741277112,0.0027346844770425875
0.007391349057588148,0.0060245923755975735,0.0028461777748607356
0.011387333316121467,0.006426966905451801,0.003413211631233318
0.013698326634757032,0.00687584251295546,0.002277126055424133
0.008883859772809276,0.01118206571012298,0.005621522951954607
0.009524031118230115,0.006473563191414572,0.0032194094312895842
0.008084027758353903,0.010811546912485571,0.005082672586967255
0.01191023441291235,0.008026163270724309,0.005312806063841681
0.006567279281440383,0.00921699276871619,0.0026426070737539174
0.010419586240924688,0.008819720928261119,0.002638654766288298
0.005823989016794597,0.010726721822845437,0.0022137960296197546
0.005916638699036442,0.011065209920933109,0.0027960187699662955
0.011465354606267464,0.009373780423969691,0.0021388697771154664
0.007379850465547738,0.009301710503583858,0.001996767962122519
0.0057222793324667905,0.009741150656795991,0.002048713444210185
0.005916122163698841,0.00923431359812482,0.0020625592110001785
0.006465933341556478,0.00848104150861727,0.0018316284026609064
0.005157117898236042,0.008423619789947672,0.0018559883654808344
0.005595330289708421,0.009080493577275108,0.0038215868443904517
0.003554483426684382,0.007640840371948307,0.00461310775903096
0.0036578442546185076,0.009415171467274558,0.004169625480357927
0.004142325629587834,0.005569261456202802,0.002449198047010203
0.006262767766354692,0.0054484298321023725,0.002303977650395671
0.006901893731462101,0.005072928612676193,0.0010347667934782877
0.005847483021697356,0.005264307947808685,0.0011375683338614455
0.00421682836529996,0.005925144577994114,0.002621242620135988
0.005596485778150394,0.006266545973260685,0.002771190127628839
0.007533365812354394,0.00652537346064162,0.0032204809570075166
0.00886272163699235,0.0064686638024917,0.003107741163367677
0.0165150342198761,0.007054681299008447,0.0020135932063714557
0.009416625824739662,0.010248518114276161,0.003974513202424797
0.007389934112180785,0.00861095240945919,0.0028469553753936437
0.006066421451058447,0.00894058366377141,0.002822130952839675
0.007898400429287708,0.009030305245920406,0.0028546111115778285
0.0056154454594237735,0.009418062807145036,0.0027857153779778693
0.008817929761156458,0.009955585835317205,0.0028711846690956753
0.007774625262314002,0.010091947987347649,0.002910321333736375
0.00589912053413093,0.010129034750420696,0.0029932195853028683
0.004371393029496861,0.00816797930233981,0.0016604575032493074
0.0038112372408621005,0.006406548968767069,0.0017170252290539354
0.004052864942860798,0.006467429891965374,0.0019086340615928196
0.004299685365515701,0.006207225605338731,0.0017250398016982506
0.006293842545633635,0.0062597071715597705,0.0018528729059315756
0.0057494273226620625,0.0066196259809967245,0.001879121461649747
0.00530423527212059,0.007300956280653379,0.0023316996500067273
0.005446110232374524,0.011101405654026902,0.007563176393950294
0.004299200847050387,0.010747427515622842,0.007304269327924466
0.004694672332295153,0.005283653163966186,0.0033969962233463633
0.0037311495564541896,0.005024185485941374,0.0030753763782400342
0.003634067165300864,0.00967997008860161,0.005885073641357795
0.003859716650454471,0.005218159421566754,0.003155096747643437
0.006140503761647638,0.004975050093177315,0.003081592548109273
0.005279118091427526,0.004812948807218574,0.0028012247801754955
0.004287069491187151,0.009905131287702386,0.006476893463993338
0.007311800961258564,0.0047822331152532925,0.0007604963414068092
0.005015118676023671,0.005195481269854801,0.0009980614396566526
0.004701007813956043,0.005285644526718272,0.0010395369605959042
0.004923793150817977,0.005270747138727064,0.0010266536929663566
0.0051086151730573,0.005293606142279847,0.0009334113542899771
0.0047967477751256395,0.005301885683169869,0.0009365760521150296
0.004970354915062111,0.0050642490116221345,0.0005991353131315801
0.004752044199886353,0.005123725018272468,0.0006746198616370784
